,STATEFP,NAMELSAD,CensusPop_20,city type,citytype_at_2050,citytype_at_2100
15955,32,Spring Valley CDP,215597,suburban,urban,urban
4774,12,South Bradenton CDP,26858,suburban,urban,urban
2903,6,San Leandro city,91008,suburban,urban,urban
2885,6,San Bruno city,43908,suburban,urban,urban
11704,25,Salem city,44480,suburban,urban,urban
4580,12,Oak Ridge CDP,25062,suburban,urban,urban
4543,12,Naples city,19115,suburban,urban,urban
4491,12,Margate city,58712,suburban,urban,urban
2368,6,Laguna Woods city,17644,suburban,urban,urban
2288,6,Huntington Beach city,198711,suburban,urban,urban
22870,42,Harrisburg city,50099,suburban,urban,urban
2163,6,Foster City city,33805,suburban,urban,urban
4243,12,Fort Myers Beach town,5582,suburban,urban,urban
3369,8,Englewood city,33659,suburban,urban,urban
2082,6,El Cajon city,106215,suburban,urban,urban
11079,24,Carney CDP,29363,suburban,urban,urban
1852,6,Campbell city,43959,suburban,urban,urban
1822,6,Burlingame city,31386,suburban,urban,urban
4036,12,Bayshore Gardens CDP,19904,suburban,urban,urban
5774,15,Waipahu CDP,43485,periurban,urban,urban
4824,12,The Hammocks CDP,59480,periurban,urban,urban
4811,12,Tamarac city,71897,periurban,urban,urban
2913,6,San Pablo city,32127,periurban,urban,urban
11694,25,Quincy city,101636,periurban,urban,urban
4568,12,North Miami city,60191,periurban,urban,urban
2625,6,National City city,56173,periurban,urban,urban
23993,42,Wilkes-Barre city,44328,suburban,suburban,urban
11508,24,Wheaton CDP,52150,suburban,suburban,urban
24498,45,Surfside Beach town,4155,suburban,suburban,urban
2939,6,Sausalito city,7269,suburban,suburban,urban
13197,27,Richfield city,36994,suburban,suburban,urban
28945,53,Renton city,106785,suburban,suburban,urban
28944,53,Redmond city,73256,suburban,suburban,urban
11379,24,Parkville CDP,31812,suburban,suburban,urban
2702,6,Pacific Grove city,15090,suburban,suburban,urban
4607,12,Ormond-by-the-Sea CDP,7312,suburban,suburban,urban
4545,12,Naples Park CDP,5092,suburban,suburban,urban
27473,49,Midvale city,36028,suburban,suburban,urban
15911,32,Las Vegas city,641903,suburban,suburban,urban
2402,6,La Mesa city,61121,suburban,suburban,urban
23005,42,Kingston borough,13349,suburban,suburban,urban
22888,42,Hazleton city,29963,suburban,suburban,urban
2186,6,Garden Grove city,171949,suburban,suburban,urban
19454,38,Fargo city,125990,suburban,suburban,urban
15879,32,Enterprise CDP,221831,suburban,suburban,urban
4205,12,Egypt Lake-Leto CDP,36644,suburban,suburban,urban
22637,42,Easton city,28127,suburban,suburban,urban
2054,6,East Bakersfield CDP,9749,suburban,suburban,urban
4171,12,Daytona Beach Shores city,5179,suburban,suburban,urban
4162,12,Cypress Lake CDP,13727,suburban,suburban,urban
4137,12,Coconut Creek city,57833,suburban,suburban,urban
4068,12,Boynton Beach city,80380,suburban,suburban,urban
21808,41,Beaverton city,97494,suburban,suburban,urban
11013,24,Aspen Hill CDP,51063,suburban,suburban,urban
3997,12,Altamonte Springs city,46231,suburban,suburban,urban
21782,41,Aloha CDP,53828,suburban,suburban,urban
15974,32,Whitney CDP,49061,periurban,periurban,urban
5753,15,Wahiawa CDP,18658,periurban,periurban,urban
15959,32,Sunrise Manor CDP,205618,periurban,periurban,urban
2148,6,Foothill Farms CDP,35834,periurban,periurban,urban
5629,15,Ewa Beach CDP,16415,periurban,periurban,urban
