STATEFP,volume_m3_perCap_2020_ssp2,volume_m3_perCap_2050_ssp2,volume_m3_perCap_2100_ssp2,length_m_perCap_2020_ssp2,length_m_perCap_2050_ssp2,length_m_perCap_2100_ssp2,added_RBUV_2020_2050,added_RL_2020_2050,added_RBUV_2050_2100,added_RL_2050_2100
01,803.98,860.95,1057.57,55.91,59.93,72.88,37.72,2.49,183.92,12.48
04,749.88,778.63,946.41,50.86,50.98,65.3,6.29,-0.28,86.1,5.72
05,825.59,908.84,1126.53,57.02,62.76,77.06,73.02,4.78,197.41,13.2
06,790.01,792.36,832.21,33.19,30.34,30.49,-15.32,-1.56,7.65,-0.07
08,839.11,826.96,912.4,41.51,38.88,40.12,-19.59,-2.34,4.08,-0.08
09,480.62,508.65,535.38,19.35,18.38,18.41,-4.15,-0.61,4.18,-0.2
10,661.59,605.05,574.19,15.96,12.77,11.53,-36.98,-3.0,-16.32,-1.51
12,959.46,939.38,981.73,26.93,22.29,19.66,-35.62,-3.81,-20.21,-1.75
13,673.82,711.92,869.25,37.47,40.08,48.32,9.63,0.3,112.09,6.65
15,440.84,403.66,339.59,10.99,8.63,6.25,-36.38,-2.04,-46.58,-2.08
16,835.83,863.12,938.77,39.27,40.52,47.09,4.85,-0.02,76.35,3.24
17,779.03,870.76,1166.32,35.59,39.67,55.6,76.57,3.69,273.61,13.68
18,760.58,784.38,943.62,30.12,31.3,38.6,30.13,1.2,150.69,6.92
19,866.7,913.76,1042.39,36.09,37.74,43.17,39.14,1.67,111.8,4.63
20,1030.94,1111.48,1273.65,65.55,71.46,80.91,69.41,4.26,124.37,8.27
21,822.28,859.08,1018.17,26.56,26.65,30.75,5.44,0.0,99.09,3.5
22,778.72,815.46,949.02,35.26,36.61,42.83,13.2,0.45,116.63,5.47
23,621.88,665.4,815.97,28.43,31.75,38.61,36.44,1.71,145.03,6.7
24,573.37,581.03,615.93,18.65,17.61,18.27,-9.37,-1.06,2.83,-0.27
25,640.6,636.09,656.62,19.58,18.07,18.32,-9.45,-1.36,11.57,-0.1
26,742.73,820.19,1039.27,28.52,30.71,40.39,58.78,2.2,225.96,9.39
27,791.48,817.36,939.61,35.64,37.12,42.3,34.35,1.58,115.91,5.74
28,722.92,794.9,1056.34,46.0,48.81,65.85,61.64,3.88,235.7,15.92
29,822.18,898.39,1133.91,46.3,49.8,62.68,37.8,2.17,195.58,12.37
30,987.83,961.96,936.56,80.69,72.5,68.76,-20.44,-2.72,-8.95,-1.86
31,958.66,1008.82,1064.94,49.46,51.76,54.4,16.72,0.59,39.71,2.1
32,885.26,897.28,959.41,60.59,63.16,63.68,0.43,-0.35,54.65,2.83
33,442.62,465.26,585.82,23.64,26.15,32.32,18.22,1.14,103.92,5.94
34,684.24,703.72,761.4,15.5,15.0,15.84,-3.08,-0.46,28.65,0.66
35,930.25,1000.25,1191.38,66.78,69.86,82.23,38.74,3.33,116.75,8.76
36,579.73,624.6,747.74,17.51,18.32,22.21,21.13,0.5,92.28,2.71
37,769.45,790.07,910.69,36.86,37.32,42.13,-1.97,-0.58,59.4,2.93
38,1044.47,929.3,735.6,60.12,49.49,35.67,-89.61,-9.99,-172.86,-12.59
39,647.15,681.62,849.92,21.06,21.99,26.53,26.41,0.7,145.86,4.4
40,898.83,898.48,925.08,78.76,77.28,79.97,-4.72,-1.13,10.47,0.23
41,885.34,864.23,902.64,27.64,25.72,27.65,-14.28,-1.28,37.59,0.82
42,587.24,626.88,723.96,19.1,19.86,22.46,4.16,-0.06,60.23,1.84
44,472.32,530.28,674.99,23.08,22.9,27.85,-0.32,-0.27,22.12,1.02
45,758.96,783.45,871.74,40.85,39.05,42.18,-6.2,-1.72,48.29,2.09
46,933.92,875.12,750.38,60.14,54.72,43.09,-18.24,-2.79,-121.9,-11.39
47,686.84,699.09,782.79,39.28,38.83,44.07,3.72,-0.1,71.21,4.37
48,782.0,739.98,744.13,38.29,33.81,32.56,-30.89,-3.58,-6.58,-1.2
49,870.37,792.66,751.25,40.9,34.73,34.82,-51.23,-4.88,-27.4,-2.14
50,554.32,610.77,812.95,29.47,30.9,41.86,54.19,2.8,184.64,8.34
51,701.46,751.64,869.37,29.86,30.67,35.97,7.95,0.2,78.57,3.71
53,819.91,803.59,801.4,28.69,24.56,21.77,-25.09,-2.65,-11.88,-1.4
54,607.71,689.49,908.1,29.78,33.26,44.11,77.69,3.79,205.81,10.71
55,727.23,780.54,955.81,31.94,33.34,41.55,31.05,1.18,151.79,7.14
56,948.58,934.65,942.51,66.41,61.41,63.75,-43.74,-4.95,-36.63,-3.73
